"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","symbol","genename"
"AT3G61900",27.8183376498948,1.29350093719222,0.397874965713753,8.41749100549087e-05,0.00210096567168002,"AT3G61900","SAUR33",NA
"AT4G24920",635.106651204668,1.09322071868336,0.331442184005531,8.43737592297274e-05,0.00210342477527998,"AT4G24920",NA,NA
"AT5G02502",240.322301572792,1.14282953663436,0.348846962211087,8.4697599564633e-05,0.00210899034735403,"AT5G02502",NA,NA
"AT3G51680",33.5595773257072,1.27141081019798,0.391918616034904,8.78563911863564e-05,0.00216450892786504,"AT3G51680","AtSDR2",NA
"AT5G05990",72.2573981625624,1.02426716338496,0.30921515708218,8.82448471034098e-05,0.00217152754034048,"AT5G05990",NA,NA
"AT5G42610",32.8376058320016,1.60460010559701,0.510558860365045,8.88349609230514e-05,0.00217410431801539,"AT5G42610","MCU5",NA
"AT3G07230",1038.67056509873,1.1346699925896,0.3479720812703,9.13417795904636e-05,0.002216518230201,"AT3G07230",NA,NA
"AT3G47180",22.8180332117537,1.51756177978329,0.482028689279457,9.2211600286683e-05,0.00223245775012771,"AT3G47180","CTL16",NA
"AT1G44830",11.056887204733,2.18505362646365,0.701815194619325,9.86021951815203e-05,0.00233856744816262,"AT1G44830","AtERF014","encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10."
"AT1G66470",39.3104269053579,1.21076141465804,0.377254826454599,9.85828621588174e-05,0.00233856744816262,"AT1G66470","AtRHD6",NA
"AT5G49525",35.8124731542367,1.62041692834632,0.521986197990161,9.84989145832618e-05,0.00233856744816262,"AT5G49525",NA,NA
"AT1G78815",665.000689415446,1.03651611028046,0.317083582849148,0.000101339713971267,0.00237931363116182,"AT1G78815","LSH7",NA
"AT4G11370",35.3020550658018,1.01957576596195,0.310269571986864,0.000101210611361075,0.00237931363116182,"AT4G11370","RHA1A","Encodes a putative RING-H2 finger protein RHA1a."
"AT5G16200",93.2929995792598,1.05892610931676,0.32568935656036,0.000101568525226072,0.00237931363116182,"AT5G16200",NA,NA
"AT2G19730",6278.45610195621,1.06112945927574,0.323748204665408,0.000101947947849402,0.0023855364671993,"AT2G19730","eL28z",NA
"AT5G59000",78.9586169519085,1.39585510116625,0.445449920453926,0.000103876152294871,0.00241985267668251,"AT5G59000",NA,NA
"AT2G47115",32.5053313213679,2.07134842112072,0.687535820269524,0.000104496113370916,0.0024288974644508,"AT2G47115",NA,NA
"AT5G45095",23.0642447655725,1.38851215984737,0.439556389625797,0.000106891655745951,0.0024594098511941,"AT5G45095",NA,NA
"ATCG00390",7.4001001361731,3.0260789401542,0.963499306685958,0.000108616421079198,0.00249163297439362,"ATCG00390",NA,NA
"AT2G31540",22.256477424294,1.46164302989464,0.464214920973528,0.000112111998569247,0.00255216087079568,"AT2G31540",NA,NA
"AT4G25470",14.6837157382619,2.0216288721943,0.66670562264865,0.000114479622999066,0.00259448927770427,"AT4G25470","ATCBF2","Encodes a member of the DREB subfamily A-1 of ERF/AP2 transcription factor family (CBF2). The protein contains one AP2 domain. There are six members in this subfamily, including CBF1, CBF2, and CBF3. This gene is involved in response to low temperature, abscisic acid, and circadian rhythm. Overexpressing this gene leads to increased freeze tolerance and induces the expression level of 85 cold-induced genes and reduces the expression level of 8 cold-repressed genes, which constitute the CBF2 regulon. Mutations in CBF2 increases the expression level of CBF1 and CBF3, suggesting that this gene may be involved in a negative regulatory or feedback circuit of the CBF pathway."
"AT5G62480",78.3366118734717,1.05558091770679,0.326580172563711,0.000115123513455483,0.00260375359558539,"AT5G62480","ATGSTU9","Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002)."
"AT5G03995",42.5682466917977,1.17719539850352,0.368198928556559,0.000115991369769651,0.00261117609474438,"AT5G03995",NA,NA
"AT5G24140",9.92222783701731,2.21390436790665,0.721395686054662,0.000132012485497114,0.00288610403642595,"AT5G24140","SQP2","Encodes a protein with similarity to squalene monoxygenases."
"AT4G01390",169.641778179422,1.03763326283773,0.325301684788464,0.000132549505648626,0.00289482597440531,"AT4G01390",NA,NA
"AT2G37210",37.1990143536064,1.30082297006061,0.419311886238595,0.000134100038454977,0.00291653672847204,"AT2G37210","LOG3","Encodes a protein of unknown function.  It has been crystallized and shown to be structurally almost identical to the protein encoded by At5g11950."
"AT1G28660",12.2108556545937,2.18053438253507,0.726408098019416,0.00014439476679608,0.00308916395984349,"AT1G28660","GGL2",NA
"AT5G22270",41.6056214423551,1.37368631538182,0.452466921206161,0.000148144851620077,0.00314055102028972,"AT5G22270","SIED1",NA
"AT1G63820",14.6753988889876,1.7096082957084,0.566987211612923,0.000150130108083924,0.00317621377001771,"AT1G63820",NA,NA
"AT4G30320",32.1672489863427,1.54831567414785,0.518338863343677,0.000154708897030663,0.00324038634879609,"AT4G30320","AtCAPE6",NA
"AT3G53280",19.8544486155328,2.57359808522046,0.896571855129197,0.000163273020437407,0.00338593684123706,"AT3G53280","CYP71B5","cytochrome P450 monooxygenase"
"AT5G60530",658.808761980428,1.21101569126956,0.396602975458142,0.000165114665872282,0.00341063456618548,"AT5G60530",NA,NA
"AT3G14880",8.57995534478064,2.35048297007159,0.803824657708806,0.000170033076288765,0.00347796436826365,"AT3G14880",NA,NA
"AT1G01380",20.213818816867,1.93604972887886,0.671704533722024,0.000178242332587369,0.00360369213599496,"AT1G01380","ETC1","ETC1 is involved in trichome and root  hair patterning in Arabidopsis."
"AT5G38010",188.917373147007,1.27269335882291,0.424687335308845,0.000178147762640921,0.00360369213599496,"AT5G38010",NA,NA
"AT3G01513",56.9891058500724,1.27825538839331,0.427865204772739,0.00018107631029084,0.00364692211484894,"AT3G01513",NA,NA
"AT1G01600",37.42523332262,1.19315218702598,0.396607679476149,0.000195624747189734,0.00386662670407726,"AT1G01600","CYP86A4","Encodes a member of the CYP86A subfamily of cytochrome p450 genes. Expressed significantly at highest level in mature stems and flowers."
"AT5G55050",20.2639653401761,1.25367569992519,0.417301753204377,0.000198675010044631,0.00392224129999599,"AT5G55050",NA,NA
"AT5G40730",1227.08104681081,1.00179053614644,0.329567492378822,0.00021152085600843,0.00414722117471589,"AT5G40730","AGP24","Encodes an arabinogalactan-protein (AGP24)."
"AT1G15760",37.9856163054191,1.06861117515674,0.351171490759017,0.00021568976852314,0.00421449365037851,"AT1G15760",NA,NA
"AT1G52830",14.5984975091243,1.54078628205259,0.529523025811268,0.000217634556696852,0.00423986079207205,"AT1G52830","IAA6","An extragenic dominant suppressor of the hy2 mutant phenotype. Also exhibits aspects of constitutive photomorphogenetic phenotype in the absence of hy2. Mutants have dominant leaf curling phenotype shortened hypocotyls and reduced apical hook. Induced by indole-3-acetic acid."
"AT2G19310",51.7536998717955,1.45661872274983,0.506931039416181,0.00021779691276646,0.00423986079207205,"AT2G19310","HSP18.5",NA
"AT4G25760",12.3914627145655,1.79852551620465,0.619598178425838,0.000218244456694618,0.00424463198428513,"AT4G25760","ATGDU2","Encodes a member of the GDU (glutamine dumper) family proteins involved in amino acid export: At4g31730 (GDU1), At4g25760 (GDU2), At5g57685 (GDU3), At2g24762 (GDU4), At5g24920 (GDU5), At3g30725 (GDU6) and At5g38770 (GDU7)."
"AT2G36295",12.8839210775972,1.69315684911991,0.599781402182815,0.000234272167113147,0.00448459394474719,"AT2G36295",NA,NA
"AT2G28860",11.7801848323286,2.44277616240946,0.866266579283597,0.000240809803122488,0.00455669524572751,"AT2G28860","CYP710A4","member of CYP710A"
"AT2G30540",14.6983016403414,1.7771954554731,0.627084240076979,0.000244197239740419,0.00460831622718057,"AT2G30540","ROXY7",NA
"AT1G47395",21.2997153883535,5.36878297270815,2.02336632164778,0.000257721298732352,0.0047606914090066,"AT1G47395","FEP2",NA
"AT5G24860",39.3562281070161,1.10485562729032,0.37492692292258,0.000257678431564311,0.0047606914090066,"AT5G24860","ATFPF1","encodes a small protein of 12.6 kDa that regulates flowering and is involved in gibberellin signalling pathway. It is expressed in apical meristems immediately after the photoperiodic induction of flowering. Genetic interactions with flowering time and floral organ identity genes suggest that this gene may be involved in modulating the competence to flower. There are two other genes similar to FPF1, FLP1 (At4g31380) and FLP2 (no locus name yet, on BAC F8F16 on chr 4). This is so far a plant-specific gene and is only found in long-day mustard, arabidopsis, and rice."
