"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","symbol","genename"
"AT3G11510",3257.26446420795,0.634262069527808,0.23979426448807,0.0016788167592302,0.0166578666228208,"AT3G11510","uS11y",NA
"AT4G29380",237.412967104439,-0.689213230735619,0.2669914614691,0.00168160547375776,0.0166776444478738,"AT4G29380","AtVPS15",NA
"AT3G06433",73.8483082519583,-0.617331161444918,0.231801085430565,0.00168354652958137,0.0166890007277555,"AT3G06433",NA,NA
"AT2G46450",88.3210223185206,-0.978374750089992,0.421022139181116,0.00168841305797912,0.0167137476105794,"AT2G46450","ATCNGC12","Member of Cyclic nucleotide gated channel family.Positive regulator of resistance against avirulent fungal pathogen.Suppresses the phenotype conferred by cpr22 in a dosage-dependent manner."
"AT3G47833",251.337506908426,0.634529269899637,0.24041151519224,0.00168843448627335,0.0167137476105794,"AT3G47833","SDH7",NA
"AT5G04290",247.671368401804,-0.800529991178432,0.324243584222295,0.00168685319992776,0.0167137476105794,"AT5G04290","KTF1","Encodes SPT5-Like, a member of the nuclear SPT5 (Suppressor of Ty insertion 5) RNA polymerase (RNAP) elongation factor family that is characterized by the presence of a carboxy-terminal extension with more than 40 WG/GW motifs.  Interacts with AGO4. Required for RNA-directed DNA methylation."
"AT2G36720",168.997162008441,-0.918198164841708,0.388160551603303,0.00169429381111844,0.0167638339046292,"AT2G36720",NA,NA
"AT5G45700",104.845029897387,0.579776973028614,0.214525077063982,0.00169658006298913,0.0167785366040708,"AT5G45700",NA,NA
"AT1G69810",106.613765511149,-0.649874145716306,0.248178203310794,0.00170974097932823,0.016868907940045,"AT1G69810","ATWRKY36","member of WRKY Transcription Factor; Group II-b"
"AT3G23550",80.918553520149,-1.18059489660027,0.542803611881015,0.00170799632389893,0.016868907940045,"AT3G23550","DTX18",NA
"AT3G61980",85.6150167508068,0.780093447512962,0.314409620011878,0.00170953501864328,0.016868907940045,"AT3G61980","AtKPI-1",NA
"AT5G06000",46.9422662198232,0.922410268519665,0.388993655553288,0.00170948809610794,0.016868907940045,"AT5G06000","ATEIF3G2","One of the 2 genes that code for the G subunit of eukaryotic initiation factor 3 (EIF3)."
"AT5G47540",132.329476474942,-0.520048385229134,0.188156960846182,0.00170882692862634,0.016868907940045,"AT5G47540",NA,NA
"AT3G24550",529.298007107385,-0.574377153702417,0.212729217789039,0.00171386276767293,0.0169016212544829,"AT3G24550","ATPERK1","encodes an ortholog of Brassica napus proline extensin-like receptor kinase. Expression of the brassica gene is induced by wounding and fungal infection."
"AT2G33860",326.366745361836,-0.717748114157435,0.282346769387433,0.00171808359910056,0.0169212750319532,"AT2G33860","ARF3","ettin (ett) mutations have pleiotropic effects on Arabidopsis flower development, causing increases in perianth organ number, decreases in stamen number and anther formation, and apical-basal patterning defects in the gynoecium. The ETTIN gene encodes a protein with homology to DNA binding proteins which bind to auxin response elements. ETT transcript is expressed throughout stage 1 floral meristems and subsequently resolves to a complex pattern within petal, stamen and carpel primordia.  ETT probably functions to impart regional identity in floral meristems that affects perianth organ number spacing, stamen formation, and regional differentiation in stamens and the gynoecium. During stage 5, ETT expression appears in a ring at the top  of the floral meristem before morphological appearance of the gynoecium, consistent with the proposal that ETT is involved in prepatterning apical and basal boundaries in the gynoecium primordium.  It is a target of the ta-siRNA tasiR-ARF."
"AT2G40510",1612.01189901902,0.648479639146756,0.247482435315394,0.0017167726340728,0.0169212750319532,"AT2G40510","eS26z",NA
"AT4G36470",94.3762296497174,0.70830436257847,0.277346597609376,0.00171827695044493,0.0169212750319532,"AT4G36470","CLAMT",NA
"AT3G27170",237.930650652946,0.645977414159187,0.246130677489755,0.00171919595007793,0.0169223766616591,"AT3G27170","ATCLC-B","member of Anion channel protein family"
"AT2G40300",97.1985182825141,0.636705424457005,0.241478614178893,0.00172586815591093,0.0169800805991687,"AT2G40300","ATFER4","Encodes FERRITIN 4, AtFER4.  Ferritins are a class of 24-mer multi-meric proteins found in all kingdoms of life.  Function as the main iron store in mammals.  Evidence suggests that Arabidopsis ferritins are essential to protect cells against oxidative damage, but they do not constitute the major iron pool. Localize to mitochondria. Knock out mutants are not sensitive to abiotic stress."
"AT4G17610",133.1655588818,-0.635857756800404,0.241585468210591,0.00172738676988799,0.0169870501958122,"AT4G17610","AtTRM3",NA
"AT3G51540",25.1300788102092,-1.00586415141038,0.436605496733537,0.00173319312690849,0.0170361589773855,"AT3G51540","BPP7",NA
"AT3G49530",243.530855521484,0.493945323005068,0.176837152994177,0.00173433434856523,0.0170393879812646,"AT3G49530","ANAC062","Transcription factor that serves as a molecular link between cold signals and pathogen resistance  responses.  Undergoes proteolytic processing triggered by cold-induced changes in membrane fluidity."
"AT1G63780",213.296339019468,0.62232717084374,0.235464893883882,0.00173725049389916,0.017057102646432,"AT1G63780","IMP4","Small nucleolar ribonucleoprotein protein involved in ribosomal RNA processing. Located in nucleolus and cajal bodies."
"AT2G44010",210.419767825647,1.08800608466294,0.487613315743905,0.00173776453557087,0.017057102646432,"AT2G44010",NA,NA
"AT1G02990",95.7888127335955,-0.605694870920039,0.227510421548382,0.0017407934862778,0.0170595961490874,"AT1G02990",NA,NA
"AT1G13110",482.904879044529,-0.738068135701962,0.293550548115433,0.0017409825220371,0.0170595961490874,"AT1G13110","CYP71B7","member of CYP71B"
"AT1G14190",108.162278405902,0.631251671629695,0.239661093888267,0.00174114575995063,0.0170595961490874,"AT1G14190",NA,NA
"AT1G64140",292.828696216405,-0.792867324172326,0.322036745356251,0.00174416323383819,0.0170595961490874,"AT1G64140",NA,NA
"AT1G64142",292.828696216405,-0.792867324172326,0.322036745356251,0.00174416323383819,0.0170595961490874,"AT1G64142",NA,"Upstream open reading frames (uORFs) are small open reading frames found in the 5' UTR of a mature mRNA, and can potentially mediate translational regulation of the largest, or major, ORF (mORF). CPuORF23 represents a conserved upstream opening reading frame relative to major ORF AT1G64140.1"
"AT3G04181",2.99460505869349,3.19677461030623,1.78978959827864,0.00174452800456184,0.0170595961490874,"AT3G04181",NA,NA
"AT3G60290",6.98217447418201,-1.78524380328453,0.849778062888705,0.00174158097264963,0.0170595961490874,"AT3G60290",NA,NA
"AT4G14560",66.9876231997912,0.910739703664342,0.38632947004473,0.00174232579307232,0.0170595961490874,"AT4G14560","AXR5","auxin (indole-3-acetic acid) induced gene (IAA1) encoding a short-lived nuclear-localized transcriptional regulator protein."
"AT5G01400",129.001712175153,-0.790425620805648,0.320356898916682,0.00174843932545096,0.0170898736118437,"AT5G01400","ESP4","Encodes a Symplekin/Pta1 homologue which would have the potential to interact with either ESP1 or AtCstF64."
"AT5G54980",291.064704004978,0.995020640070523,0.433591566361505,0.00175256835399526,0.0171222498182035,"AT5G54980","CASPL2D1",NA
"AT2G37840",196.271329658082,-0.754056036816805,0.301790228157179,0.00175375060231026,0.0171258198081215,"AT2G37840","ATG1c",NA
"AT5G48335",172.613161580012,0.511215369067997,0.184387376922189,0.00175486838648225,0.0171287572583738,"AT5G48335",NA,NA
"AT4G01480",405.584912165134,0.534227884961451,0.194762525596805,0.00175599474595218,0.0171317756368699,"AT4G01480","AtPPa5","Encodes a protein that might have inorganic pyrophosphatase activity."
"AT2G07709",1582.90389045404,1.12060629562769,0.499947948969608,0.00176186054461788,0.017181008455097,"AT2G07709",NA,NA
"AT3G22230",2907.30338359412,0.821850508306553,0.339040206786794,0.00176288469991033,0.0171830035417573,"AT3G22230","eL27y",NA
"AT1G69580",265.234317921694,0.65249221562881,0.2507306363602,0.00176772475930316,0.0172221734681924,"AT1G69580",NA,NA
"AT5G03170",243.54166895426,0.711503295246918,0.280285570892089,0.00177278102855226,0.017263412468475,"AT5G03170","ATFLA11",NA
"AT3G59980",124.043298533728,0.570334305198393,0.211660582008816,0.00177735409588681,0.0172999099231025,"AT3G59980",NA,NA
"AT3G51340",75.8769352264174,-0.673844889337268,0.261309811994559,0.0017806941410025,0.0173238294697351,"AT3G51340",NA,NA
"AT4G15393",199.579568875156,0.631362281920532,0.24034097805,0.00178146410077024,0.0173238294697351,"AT4G15393","CYP702A5","a member of the cytochrome P450 gene family. molecular function unknown."
"AT5G12370",510.765933929819,-0.572372150699759,0.213016838035803,0.00179398259003255,0.0174374775070109,"AT5G12370","SEC10",NA
"AT4G33985",101.126541374854,0.730411477881255,0.290538154158747,0.00179953331839365,0.0174752272132659,"AT4G33985",NA,NA
"AT5G43070",75.5917775901213,0.702310349785736,0.276508823183043,0.00179950991412649,0.0174752272132659,"AT5G43070","WPP1","WPP family members contains an NE targeting domain. This domain, called the WPP domain  after a highly conserved Trp-Pro-Pro motif, is necessary and sufficient for NE targeting of WPP1. RNAi suppression of WPP1 resulted in reduced mitotic activity."
"AT2G36740",133.553293179251,0.72879182162253,0.289538011487242,0.0018008314771051,0.0174797373837896,"AT2G36740","ATSWC2",NA
"AT1G08720",177.182199067034,-0.633800972206972,0.242313141420599,0.00180723696925767,0.0175256846889252,"AT1G08720","ATEDR1","enhanced disease resistance 1 (EDR1) confers resistance to powdery mildew disease caused by the fungus Erysiphe cichoracearum"
"AT3G57380",45.4301967575118,0.90856613400315,0.386195499854259,0.00180645676750308,0.0175256846889252,"AT3G57380",NA,NA
"AT4G16430",361.304974164911,0.524472631718859,0.19138185043348,0.00181307530972825,0.0175741733443192,"AT4G16430","bHLH003",NA
"AT4G19970",5.9005700966197,2.17954669340897,1.07902847322038,0.00181401954273036,0.0175752004310928,"AT4G19970",NA,NA
"AT4G30200",631.034931940427,-0.530387030381812,0.194224485379637,0.00181771577055502,0.0175947501594906,"AT4G30200","VEL1","Encodes a protein with similarity to VRN5 and VIN3.Contains both a fibronectin III and PHD finger domain. VEL1 is a part of a polycomb repressive complex (PRC2) that is involved in epigenetic silencing of the FLC flowering locus."
"AT5G24165",538.494419586177,0.722306206361101,0.286434662605795,0.00181770145550977,0.0175947501594906,"AT5G24165",NA,NA
"AT3G48360",2386.56273606757,-0.958949869670655,0.415911783930946,0.00181966027600297,0.0176054440916835,"AT3G48360","ATBT2","encodes a protein (BT2) that is an essential component of the TAC1-mediated telomerase activation pathway. Acts redundantly with BT3 and BT1 during female gametophyte development and with BT3 during male gametophyte development. BT2 also mediates multiple responses to nutrients, stresses, and hormones."
"AT1G69760",109.563733278185,0.87523576986081,0.368379818753419,0.00182104290319332,0.0176106944226712,"AT1G69760",NA,NA
"AT5G16570",108.526901159839,0.706840254058752,0.278189164033757,0.00182566283316391,0.0176472323467563,"AT5G16570","GLN1;4","Encodes a cytosolic glutamine synthetase, the enzyme has high affinity with substrate ammonium"
"AT2G17520",369.749892468584,-0.538681756721348,0.198216273412425,0.00183160219743315,0.0176793887793239,"AT2G17520","ATIRE1-2","Encodes a endoribonuclease/protein kinase IRE1-like protein that is predicted to form a type I transmembrane protein structure and contain kinase/endoribonuclease domains at their C-terminal halves. The transcript levels for several ER-stress responsive genes, including six protein disulfide isomerases (PDIs), BiP2, and AtbZIP60 are not affected in ire1-2 null mutants."
"AT3G13900",9.45741176299231,-1.63930391344408,0.807891298133094,0.00183010337125863,0.0176793887793239,"AT3G13900","ALA7",NA
"AT3G54430",145.676587125242,0.527991316641546,0.193048099742174,0.00183236248294719,0.0176793887793239,"AT3G54430","SRS6","A member of SHI gene family. Arabidopsis thaliana has ten members that encode proteins with a RING finger-like zinc finger motif. Despite being highly divergent in sequence, many of the SHI-related genes are partially redundant in function and synergistically promote gynoecium, stamen and leaf development in Arabidopsis."
"AT4G00850",88.498524200582,0.668275210458268,0.259267470230647,0.00183080204021929,0.0176793887793239,"AT4G00850","GIF3","Arabidopsis thaliana GRF1-interacting factor 3 (GIF3) mRNA"
"AT3G27520",81.694181461926,0.658791243614425,0.254972747950071,0.00183546290465112,0.0177011569728221,"AT3G27520",NA,NA
"AT3G48110",130.153854671386,-0.878498911581513,0.370966033658027,0.00183693741670737,0.0177072321281318,"AT3G48110","EDD","glycine-tRNA ligase"
"AT1G72830",91.1545282649269,-0.775081001070294,0.314936482778292,0.00185034381371624,0.0178171157616881,"AT1G72830","ATHAP2C","Encodes a subunit of CCAAT-binding complex, binds to CCAAT box motif present in some plant promoter sequences. One of three members of this class (HAP2A, HAP2B, HAP2C), it is expressed in vegetative and reproductive tissues."
"AT4G29020",43.2043419930277,-1.02453950378856,0.454190327405433,0.00185088610745763,0.0178171157616881,"AT4G29020",NA,NA
"AT5G14565",16.6703544838337,-0.081508940910303,0.375414870243187,0.00185082855292652,0.0178171157616881,"AT5G14565",NA,NA
"AT3G01380",88.4157290514587,-1.01733608293094,0.45119567656181,0.00185528446107391,0.0178338020756988,"AT3G01380",NA,NA
"AT4G26000",123.646152998595,-0.774611284467196,0.315078852667543,0.00185562053574832,0.0178338020756988,"AT4G26000","AtKH20","Encodes a novel Arabidopsis gene encoding a polypeptide with K-homology (KH) RNA-binding modules, which acts on vegetative growth and  pistil development. Genetic studies suggest that PEP interacts with element(s) of the CLAVATA signaling pathway."
